"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: useAsm"
"org.sfm.benchmark.csv.CsvBenchmark.testJacksonCsvMapper","avgt",1,100,25916.047625840885,168.87127993603957,"ns/op","","1",""
"org.sfm.benchmark.csv.CsvBenchmark.testJacksonCsvMapper","avgt",1,100,32129.782426435806,169.87108501223548,"ns/op","","10",""
"org.sfm.benchmark.csv.CsvBenchmark.testJacksonCsvMapper","avgt",1,100,93851.87870767905,453.3153381164933,"ns/op","","100",""
"org.sfm.benchmark.csv.CsvBenchmark.testJacksonCsvMapper","avgt",1,100,748235.0212550642,6689.2047412842585,"ns/op","","1000",""
"org.sfm.benchmark.csv.CsvBenchmark.testOpenCsvMapper","avgt",1,100,24839.121680726075,106.48060601712564,"ns/op","","1",""
"org.sfm.benchmark.csv.CsvBenchmark.testOpenCsvMapper","avgt",1,100,37447.48224065088,204.81608878391245,"ns/op","","10",""
"org.sfm.benchmark.csv.CsvBenchmark.testOpenCsvMapper","avgt",1,100,161024.99247208313,950.0163112487828,"ns/op","","100",""
"org.sfm.benchmark.csv.CsvBenchmark.testOpenCsvMapper","avgt",1,100,1431706.735072805,14071.762712465224,"ns/op","","1000",""
"org.sfm.benchmark.csv.CsvBenchmark.testReadSfmCsvMapper","avgt",1,100,17751.78051214204,67.6814427672412,"ns/op","","1",""
"org.sfm.benchmark.csv.CsvBenchmark.testReadSfmCsvMapper","avgt",1,100,22024.49341616161,106.30471743689672,"ns/op","","10",""
"org.sfm.benchmark.csv.CsvBenchmark.testReadSfmCsvMapper","avgt",1,100,61642.41213212145,768.453371044546,"ns/op","","100",""
"org.sfm.benchmark.csv.CsvBenchmark.testReadSfmCsvMapper","avgt",1,100,469165.8638857746,1146.2847959210978,"ns/op","","1000",""
"org.sfm.benchmark.csv.CsvBenchmark.testUnivocityCsvMapper","avgt",1,100,4524561.7071665665,20146.09329174506,"ns/op","","1",""
"org.sfm.benchmark.csv.CsvBenchmark.testUnivocityCsvMapper","avgt",1,100,4530647.2513318695,14887.527054033239,"ns/op","","10",""
"org.sfm.benchmark.csv.CsvBenchmark.testUnivocityCsvMapper","avgt",1,100,4625195.86473917,14432.52406800075,"ns/op","","100",""
"org.sfm.benchmark.csv.CsvBenchmark.testUnivocityCsvMapper","avgt",1,100,5516421.96925707,17175.13027314154,"ns/op","","1000",""
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100,331630.9445143751,5802.902388236288,"ns/op","MYSQL","1",""
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100,390096.6283551686,7405.032925940036,"ns/op","MYSQL","10",""
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100,952098.7572315207,10052.722536833973,"ns/op","MYSQL","100",""
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100,4651919.714274742,20799.154227940217,"ns/op","MYSQL","1000",""
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100,415681.7990354893,3872.795867195987,"ns/op","MYSQL","1",""
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100,493577.7397542678,6077.247881348965,"ns/op","MYSQL","10",""
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100,993002.675817592,13811.083520075952,"ns/op","MYSQL","100",""
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100,5393564.50166103,96481.52224204352,"ns/op","MYSQL","1000",""
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100,243099.81729745973,2625.303711220561,"ns/op","MYSQL","1",""
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100,284753.747585733,3549.451404291234,"ns/op","MYSQL","10",""
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100,573851.5696330674,12357.411821662521,"ns/op","MYSQL","100",""
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100,2392299.431738671,8544.978547670711,"ns/op","MYSQL","1000",""
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100,346868.54135721124,1382.514626646726,"ns/op","MYSQL","1",""
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100,401894.53513013886,3784.12031590567,"ns/op","MYSQL","10",""
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100,799807.1770541198,12165.196679042489,"ns/op","MYSQL","100",""
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100,3332572.0474384166,11842.327302407724,"ns/op","MYSQL","1000",""
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSmfMapper","avgt",1,100,350601.58785799175,1485.2045822008718,"ns/op","MYSQL","1",""
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSmfMapper","avgt",1,100,413435.7059066121,4720.151299479634,"ns/op","MYSQL","10",""
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSmfMapper","avgt",1,100,797773.2500920339,12055.483077560513,"ns/op","MYSQL","100",""
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSmfMapper","avgt",1,100,3325046.875836815,12618.046060804985,"ns/op","MYSQL","1000",""
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100,353414.5505774865,1533.2579261204808,"ns/op","MYSQL","1",""
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100,416651.6006058371,4219.7096534388875,"ns/op","MYSQL","10",""
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100,812785.2907492764,11610.687239629038,"ns/op","MYSQL","100",""
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100,3355671.147114907,11185.783308641545,"ns/op","MYSQL","1000",""
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100,245131.65290188233,2560.1983959669838,"ns/op","MYSQL","1","true"
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100,246175.99385852073,2122.0553814620407,"ns/op","MYSQL","1","false"
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100,306873.9779781618,6344.708281664311,"ns/op","MYSQL","10","true"
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100,309401.4947415607,6061.653447382821,"ns/op","MYSQL","10","false"
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100,599823.432690772,13289.214472262163,"ns/op","MYSQL","100","true"
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100,605182.0994022094,13244.343146535079,"ns/op","MYSQL","100","false"
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100,2530093.7338858917,7866.715388359567,"ns/op","MYSQL","1000","true"
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100,2588624.738628605,10808.609281682537,"ns/op","MYSQL","1000","false"
"org.sfm.benchmark.db.sfm.JdbcMapperStaticBenchmark.testQuery","avgt",1,100,244225.35916732773,2064.9196839530414,"ns/op","MYSQL","1","true"
"org.sfm.benchmark.db.sfm.JdbcMapperStaticBenchmark.testQuery","avgt",1,100,245018.12701639842,2939.5296362472272,"ns/op","MYSQL","1","false"
"org.sfm.benchmark.db.sfm.JdbcMapperStaticBenchmark.testQuery","avgt",1,100,287370.39882525656,4748.918318480909,"ns/op","MYSQL","10","true"
"org.sfm.benchmark.db.sfm.JdbcMapperStaticBenchmark.testQuery","avgt",1,100,293372.6040313939,4551.239935244011,"ns/op","MYSQL","10","false"
"org.sfm.benchmark.db.sfm.JdbcMapperStaticBenchmark.testQuery","avgt",1,100,577443.6810869002,14591.621578162234,"ns/op","MYSQL","100","true"
"org.sfm.benchmark.db.sfm.JdbcMapperStaticBenchmark.testQuery","avgt",1,100,581524.8302161985,13609.336807960944,"ns/op","MYSQL","100","false"
"org.sfm.benchmark.db.sfm.JdbcMapperStaticBenchmark.testQuery","avgt",1,100,2415451.506504889,9871.59382734332,"ns/op","MYSQL","1000","true"
"org.sfm.benchmark.db.sfm.JdbcMapperStaticBenchmark.testQuery","avgt",1,100,2457199.766153263,8458.411493002555,"ns/op","MYSQL","1000","false"
"org.sfm.benchmark.db.spring.BeanPropertyRowMapperBenchmark.testQuery","avgt",1,100,306340.6515458614,5952.307190903829,"ns/op","MYSQL","1",""
"org.sfm.benchmark.db.spring.BeanPropertyRowMapperBenchmark.testQuery","avgt",1,100,479428.35698820406,9471.624509665364,"ns/op","MYSQL","10",""
"org.sfm.benchmark.db.spring.BeanPropertyRowMapperBenchmark.testQuery","avgt",1,100,1848835.0433630983,15320.046669769446,"ns/op","MYSQL","100",""
"org.sfm.benchmark.db.spring.BeanPropertyRowMapperBenchmark.testQuery","avgt",1,100,1.4033045910439856E7,146455.6199576109,"ns/op","MYSQL","1000",""
"org.sfm.benchmark.db.spring.RomaBenchmark.testQuery","avgt",1,100,255094.5955737843,2730.3702328273116,"ns/op","MYSQL","1",""
"org.sfm.benchmark.db.spring.RomaBenchmark.testQuery","avgt",1,100,319073.25234914577,7464.4159611933965,"ns/op","MYSQL","10",""
"org.sfm.benchmark.db.spring.RomaBenchmark.testQuery","avgt",1,100,604052.1329654572,11482.763333819832,"ns/op","MYSQL","100",""
"org.sfm.benchmark.db.spring.RomaBenchmark.testQuery","avgt",1,100,2494444.086188701,11053.44455136939,"ns/op","MYSQL","1000",""
"org.sfm.benchmark.db.sql2o.Sql2OBenchmark.testQuery","avgt",1,100,263717.97920318524,2684.1595659417935,"ns/op","MYSQL","1",""
"org.sfm.benchmark.db.sql2o.Sql2OBenchmark.testQuery","avgt",1,100,336986.62357651175,7617.945942076412,"ns/op","MYSQL","10",""
"org.sfm.benchmark.db.sql2o.Sql2OBenchmark.testQuery","avgt",1,100,671865.0750996248,12858.993021154549,"ns/op","MYSQL","100",""
"org.sfm.benchmark.db.sql2o.Sql2OBenchmark.testQuery","avgt",1,100,2900239.5220979243,11102.224568216556,"ns/op","MYSQL","1000",""
