"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: limit"
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,17406.625863,86.579716,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,23632.152898,155.294738,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,85775.316780,463.889425,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,731395.258646,1739.950358,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,146859.044040,441.552357,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,172369.271297,467.938444,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,409954.205033,1409.792790,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,2779318.384170,23611.181896,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,18133.475380,65.574761,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,21748.077605,90.984942,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,59254.688114,617.002484,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,461097.269691,3096.813596,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,18615.495437,98.147850,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,22494.507690,99.085779,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,60876.456568,629.801204,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,507519.510848,3796.552426,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsm","avgt",1,100.000000,18571.311473,104.203345,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsm","avgt",1,100.000000,23502.883927,136.969450,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsm","avgt",1,100.000000,71513.792084,742.477882,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsm","avgt",1,100.000000,579485.238243,7569.376277,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsmFinal","avgt",1,100.000000,19092.189889,107.768873,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsmFinal","avgt",1,100.000000,24628.052329,82.976072,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsmFinal","avgt",1,100.000000,84094.011863,438.557644,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsmFinal","avgt",1,100.000000,699118.042852,7716.627774,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,5499318.683596,32473.009220,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,5521162.141116,38040.761389,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,5573271.456669,24871.143766,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,6451232.064709,28768.746685,"ns/op",1000
